AREA,PROYECTO,UBICACION,MONTO,ESTATUS,BENEFICIARIOS,META_VAL,META_UNI,MES
SERVICIOS PÚBLICOS,CONSTRUCCIÓN DE DRENAJE,SAN RAFAEL,0,CONCLUIDO,0,1718,REPARACIONES,DICIEMBRE
SERVICIOS PÚBLICOS,CONSTRUCCIÓN DE DRENAJE,SANTA ANA DE ALLENDE,0,CONCLUIDO,1760,56,REPARACIONES,OCTUBRE
SERVICIOS PÚBLICOS,CONSTRUCCIÓN DE DRENAJE,CABECERA MUNICIPAL,0,CONCLUIDO,2025,46,REPARACIONES,NOVIEMBRE
SERVICIOS PÚBLICOS,CONSTRUCCIÓN DE DRENAJE,CABECERA MUNICIPAL,0,CONCLUIDO,675,36,REPARACIONES,ENERO
SERVICIOS PÚBLICOS,CONSTRUCCIÓN DE DRENAJE,PALO VERDE,0,CONCLUIDO,322,24,REPARACIONES,OCTUBRE
SERVICIOS PÚBLICOS,CONSTRUCCIÓN DE DRENAJE,CABECERA MUNICIPAL,0,CONCLUIDO,450,15,REPARACIONES,OCTUBRE
SERVICIOS PÚBLICOS,CONSTRUCCIÓN DE DRENAJE,LA ESTANCIA,0,CONCLUIDO,162,14,REPARACIONES,OCTUBRE
SERVICIOS PÚBLICOS,CONSTRUCCIÓN DE DRENAJE,PUERTO OBSCURO,0,CONCLUIDO,0,14,REPARACIONES,DICIEMBRE
SERVICIOS PÚBLICOS,REPARACIÓN DE BOMBAS,TENANGO,0,EN PROCESO,0,0,REPARACIONES,ENERO
INSTANCIA MUJER,TALLER EMPODERAMIENTO,CAHUAZAS,0,CONCLUIDO,13,1,TALLER,SEPTIEMBRE
INSTANCIA MUJER,CLASES DE ZUMBA,LA LOMA,0,CONCLUIDO,22,1,TALLER,SEPTIEMBRE
INSTANCIA MUJER,PLÁTICA CIBER ACOSO,SAN RAFAEL,0,CONCLUIDO,22,1,PLÁTICA,SEPTIEMBRE
INSTANCIA MUJER,CANALIZACIÓN MP,CABECERA MPAL,0,CONCLUIDO,6,6,CANALIZACIÓN,SEPTIEMBRE
INSTANCIA MUJER,APOYOS AUTOEMPLEO,EL HUALUL,10000,CONCLUIDO,1,1,APOYO,OCTUBRE
INSTANCIA MUJER,APOYOS AUTOEMPLEO,EL PESCADO,10000,CONCLUIDO,1,1,APOYO,OCTUBRE
INSTANCIA MUJER,APOYOS AUTOEMPLEO,CABECERA MPAL,60000,CONCLUIDO,6,6,APOYO,OCTUBRE
PUEBLOS INDÍGENAS,ARCOS Y COMPARSA XANTOLO,AHUAYO,20000,CONCLUIDO,250,1,EVENTO,OCTUBRE
PUEBLOS INDÍGENAS,ARCOS Y COMPARSA XANTOLO,LAS MINAS,2000,CONCLUIDO,78,1,EVENTO,OCTUBRE
PUEBLOS INDÍGENAS,PIZARRÓN PARA PREESCOLAR,TETLALPAN,0,CONCLUIDO,17,1,APOYO,SEPTIEMBRE
PUEBLOS INDÍGENAS,PROGRAMA AGUA VIDA,PALO VERDE,0,EN PROCESO,15,1,PROGRAMA,DICIEMBRE
PUEBLOS INDÍGENAS,ACTAS DE NACIMIENTO,LAS MINAS,0,CONCLUIDO,8,8,TRÁMITE,OCTUBRE
PUEBLOS INDÍGENAS,GASTOS MÉDICOS,TETLALPAN,2500,CONCLUIDO,7,1,APOYO,SEPTIEMBRE
PUEBLOS INDÍGENAS,TRASLADOS,TETLALPAN,2500,CONCLUIDO,7,7,TRASLADO,SEPTIEMBRE
PUEBLOS INDÍGENAS,ECO-ESTUFA,BO. SAN FRANCISCO,0,EN PROCESO,6,6,APOYO,DICIEMBRE
