MES,EVENTO,DESCRIPCIÓN,INVERSION,UBICACIÓN,FECHAS,actividad,,,,,MES,EVENTO,DESCRIPCIÓN,INVERSION,UBICACIÓN,FECHAS,actividad
SEPTIEMBRE,Grito de Independencia- Programa Cultural y Civico,El programa cultural preparado para la noche mexicana se cancelo por condiciones del clima,5000,"Plaza Juarez, Chapulhuacan Hgo.",15 de septiembre,Eventos realizados por la casa de la cultura,,,,,mayo,Grito de Independencia- Programa Cultural y Civico,El programa cultural preparado para la noche mexicana se cancelo por condiciones del clima,4000,"Plaza Juarez, Chapulhuacan Hgo.",15 de septiembre,Eventos realizados por la casa de la cultura
OCTUBRE,Eventos de XANTOLO,Se llevo acabo la organización de los diferentes eventos con motivo de la fiesta de xantolo,57500,"Kiosco, atrio de la iglesia y Cancha Techada, Chapulhuacan Hgo.",27- 30 de octubre,Eventos realizados por la casa de la cultura,,,,,,,,,,,
OCTUBRE,Danza Yolotzin,Presentación en sitio,0,Santa Ana  de Allende,15 de septiembre,Eventos realizados por la casa de la cultura,,,,,,,,,,,
OCTUBRE,Danza Yolotzin,Presentación en sitio,0,"San Rafael, Chapulhuacan Hgo",21 de octubre,Eventos realizados por la casa de la cultura,,,,,,,,,,,
OCTUBRE,Danza Yolotzin,Presentación en sitio,2000,Rancho nuevo Pisaflores Hgo,29 de octubre,Eventos realizados por la casa de la cultura,,,,,,,,,,,
OCTUBRE,Danza Yolotzin,Presentación en sitio,0,Chapulhuacan Hgo.,29 de octubre,Eventos realizados por la casa de la cultura,,,,,,,,,,,
OCTUBRE,Danza al Son de mi Pueblo,Presentación en sitio,0,Colegia Patria Chapulhuacan Hgo ,18 de septiembre ,Eventos realizados por la casa de la cultura,,,,,,,,,,,
NOVIEMBRE,Danza al Son de mi Pueblo,Presentación en sitio,0,Cancha techada Chapulhuacan Hgo,21 de novienbre,Eventos realizados por la casa de la cultura,,,,,,,,,,,
NOVIEMBRE,Dia de Muertos,Presentación en sitio,0,"Plaza Juarez, Chapulhuacan Hgo.",1 de Noviembre,Eventos realizados por la casa de la cultura,,,,,,,,,,,
DICIEMBRE,"Concierto de navidad ""street cello""",Presentación en sitio,5800,"Plaza Juarez, Chapulhuacan Hgo.",22 de diciembre del 2025,Eventos realizados por la casa de la cultura,,,,,,,,,,,
DICIEMBRE,Danza Yolotzin,Presentación en sitio,0,"Iglesia vieja, Chapulhuacan Hgo",4 de diciembre,Eventos realizados por la casa de la cultura,,,,,,,,,,,
DICIEMBRE,Danza Yolotzin,Presentación en sitio,0,"El amolar, Chapulhuacan Hgo",12 de diciembre,Eventos realizados por la casa de la cultura,,,,,,,,,,,
DICIEMBRE,Danza al Son de mi Pueblo,Presentación en sitio,0,Colegio por Cooperacion Patria,02 de diciembre,Eventos realizados por la casa de la cultura,,,,,,,,,,,
DICIEMBRE,Danza al Son de mi Pueblo,Presentación en sitio,2500,Neblinas chapulhuacan Hgo,12 de diciembre,Eventos realizados por la casa de la cultura,,,,,,,,,,,
ENERO,Danza Yolotzin,Presentación en sitio,0,"Las Fuentes, La Mision Hgo",11 de enero,Eventos realizados por la casa de la cultura,,,,,,,,,,,
ENERO,Danza Yolotzin,Presentación en sitio,3000,"Arroyo Blanco, Chapulhuacan",17 de enero,Eventos realizados por la casa de la cultura,,,,,,,,,,,
