Mes,Comunidad,Cantidad,Actividad,Inversión,ACTIVIDAD,,Mes,Actividad,Categoría,Número de Equipos,Monto Invertido (MXN),Lugar,Observaciones,Fecha,Partidos Realizados,ACTIVIDAD,,,Deporte,Categoria,Genero,Participantes,ACTIVIDAD
Septiembre,SAN RAFAEL,1,Torneo infantil Mixto Libre en Basquetbool,0,RELACIÓN DE TORNEOS REALIZADOS EN LAS COMUNIDADES,,Septiembre,Torneo de Basquetbool,Femenil,9,15000,Chapulhuacan,Torneo conmemorativo por la Independencia de México,9/15/2025,,TORNEOS CONTINUOS REALIZADOS,,,FUTBOL,5 a 11 anios,ninio,13,RELACIÓN DE PARTICIPANTES EN LAS DISCIPLINAS OFERTADAS
Septiembre,SAN RAFAEL,1,Torneo Juvenil Femenil Comunitario en Basquetbool,0,RELACIÓN DE TORNEOS REALIZADOS EN LAS COMUNIDADES,,Septiembre,Torneo de Basquetbool,Varonil,10,15000,Chapulhuacan,Torneo conmemorativo por la Independencia de México,9/16/2025,,TORNEOS CONTINUOS REALIZADOS,,,FUTBOL,12 a 29 anios,ninio,26,RELACIÓN DE PARTICIPANTES EN LAS DISCIPLINAS OFERTADAS
Octubre,SAN RAFAEL,1,Torneo Juvenil Libre en Basquetbool,0,RELACIÓN DE TORNEOS REALIZADOS EN LAS COMUNIDADES,,Octubre,Liga Municipal,Varonil,15,,Chapulhuacan,Se suspendió la liga después de la primera jornada por las lluvias que afectaron al municipio.,,,TORNEOS CONTINUOS REALIZADOS,,,FUTBOL,12 a 29 anios,ninia,15,RELACIÓN DE PARTICIPANTES EN LAS DISCIPLINAS OFERTADAS
Octubre,SAN RAFAEL,1,Torneo Veteranos en Basquetbool,0,RELACIÓN DE TORNEOS REALIZADOS EN LAS COMUNIDADES,,Octubre,Liga Municipal,Femenil,12,,Chapulhuacan,Se suspendió la liga después de la primera jornada por las lluvias que afectaron al municipio.,,,TORNEOS CONTINUOS REALIZADOS,,,BASQUETBOL,5 a 11 anios,ninio,25,RELACIÓN DE PARTICIPANTES EN LAS DISCIPLINAS OFERTADAS
Octubre,SAN RAFAEL,1,Torneo Juvenil Varonil en Basquetbool,0,RELACIÓN DE TORNEOS REALIZADOS EN LAS COMUNIDADES,,Noviembre,Liga Municipal,Varonil,15,12000,Chapulhuacan,"Se reanudo la liga de basquetbol. Las premiaciones se dan hasta terminar la liga, no son premiaciones mensuales.",,,TORNEOS CONTINUOS REALIZADOS,,,BASQUETBOL,5 a 11 anios,ninia,10,RELACIÓN DE PARTICIPANTES EN LAS DISCIPLINAS OFERTADAS
Noviembre,OJO DE AGUA BO. ABAJO,1,Torneo Juvenil Masculino Comunitario en Basquetbool,0,RELACIÓN DE TORNEOS REALIZADOS EN LAS COMUNIDADES,,Noviembre,Liga Municipal,Femenil,12,12000,Chapulhuacan,"Se reanudo la liga de basquetbol. Las premiaciones se dan hasta terminar la liga, no son premiaciones mensuales.",,,TORNEOS CONTINUOS REALIZADOS,,,BASQUETBOL,12 a 29 anios,ninio,100,RELACIÓN DE PARTICIPANTES EN LAS DISCIPLINAS OFERTADAS
Noviembre,EL BANCO,1,Torneo Juvenil Masculino Comunitario en Basquetbool,0,RELACIÓN DE TORNEOS REALIZADOS EN LAS COMUNIDADES,,Noviembre,Hexagonal de Futbool Soccer,Varonil,6,13500,Chapulhuacan,Torneo de futbol soccer alusivo a la revolución mexicana.,45991,,TORNEOS CONTINUOS REALIZADOS,,,BASQUETBOL,12 a 29 anios,ninio,70,RELACIÓN DE PARTICIPANTES EN LAS DISCIPLINAS OFERTADAS
Diciembre,SANTA MARÍA DE ÁLAMOS,1,Torneo infantil Mixto Libre en Basquetbool,0,RELACIÓN DE TORNEOS REALIZADOS EN LAS COMUNIDADES,,Diciembre,Liga Municipal,Varonil,15,,Chapulhuacan,Se pospuso la liga a mitad de mes por motivo del periodo vacacional por el fin de año.,,,TORNEOS CONTINUOS REALIZADOS,,,BASQUETBOL,30 en adelante,ninio,265,RELACIÓN DE PARTICIPANTES EN LAS DISCIPLINAS OFERTADAS
Diciembre,SANTA MARÍA DE ÁLAMOS,1,Torneo Juvenil Varonil en Basquetbool,0,RELACIÓN DE TORNEOS REALIZADOS EN LAS COMUNIDADES,,Diciembre,Liga Municipal,Femenil,12,,Chapulhuacan,Se pospuso la liga a mitad de mes por motivo del periodo vacacional por el fin de año.,,,TORNEOS CONTINUOS REALIZADOS,,,BASQUETBOL,30 en adelante,ninia,40,RELACIÓN DE PARTICIPANTES EN LAS DISCIPLINAS OFERTADAS
Diciembre,ZACATE GRANDE,1,Torneo Juvenil Varonil en Basquetbool,0,RELACIÓN DE TORNEOS REALIZADOS EN LAS COMUNIDADES,,Diciembre,Arbitraje,,,,Telesecundaria - Iglesia Vieja,Apoyo en arbitraje en telesecundaria,,,TORNEOS CONTINUOS REALIZADOS,,,BOX,5 a 11 anios,ninio,8,RELACIÓN DE PARTICIPANTES EN LAS DISCIPLINAS OFERTADAS
