mes,Localidad,Descripcion de estos,Asesorías jurídicas en materia de regularización de tenencia de la tierra,Asesorias juridicas en materia civil-familiar,Juicios de obras públicas en curso,Canalizaciones en materia de Juicios de Pension Alimenticia,Correcciones de actas ante el registro del estado de Hidalgo.,"Convenios, contratos o acuerdos revisados y formalizados con la ciudadania",Apoyo en Audiencias de Juzgado Conciliador,Apoyo a Visitaduria Agraria,Catastro en Deslindes y/o Rectificacion de Medidas,Actas informativas realizadas para el Registro civil,Revicion de documentos para inscripcion al Padron,Revision de documentos para Traslados de Dominio,Revision de Documentos para Avaluos,Deslindes realizados por el àrea,,,,MES,Asesoria juridicas por area,Total de Asesorias,actividad,,Mes,Nombre del proveedor,Total de contratos,actividad,,Mes,Tema de la recomendación,Estatus,actividad
ENERO,ACUATLA,,,,,,,,,,,,,,,,,,,SEPTIEMBRE,Servicios publicos,6,ASESORIAS INTERNAS A LAS ÁREAS DEL AYUNTAMIENTO,,Septiembre,Asociación Ganadera,1,CONTRATOS REALIZADOS CON EMPRESAS / EXTERNOS,,Septiembre,Violación a la integridad de una Persona,En Proceso,SEGUIMIENTO A TEMAS DE CNDH
ENERO,AHUAYO,,6,,,,,,,,,,,,,,,,,SEPTIEMBRE,Instancia de la Mujer,11,ASESORIAS INTERNAS A LAS ÁREAS DEL AYUNTAMIENTO,,Septiembre,C. Alondra Olguin,1,CONTRATOS REALIZADOS CON EMPRESAS / EXTERNOS,,Diciembre,Intervencion Respecto a la Construción de un Inmueble,En Proceso,SEGUIMIENTO A TEMAS DE CNDH
ENERO,ÁLAMO,,,,,,,,,,,,,,,,,,,SEPTIEMBRE,Juzgado conciliador,35,ASESORIAS INTERNAS A LAS ÁREAS DEL AYUNTAMIENTO,,Septiembre,C. Elizabeth Martinez Guerrero,1,CONTRATOS REALIZADOS CON EMPRESAS / EXTERNOS,,,,,
ENERO,AMIXCO,,,,,,,,,,,,,,,,,,,SEPTIEMBRE,Catastro,78,ASESORIAS INTERNAS A LAS ÁREAS DEL AYUNTAMIENTO,,Noviembre,C. Rita Escobar de la Cruz,1,CONTRATOS REALIZADOS CON EMPRESAS / EXTERNOS,,,,,
ENERO,ARROYO BLANCO,,,,,,,,,,,,,,1,,,,,SEPTIEMBRE,Obras publicas,23,ASESORIAS INTERNAS A LAS ÁREAS DEL AYUNTAMIENTO,,Enero,Convenio con el IMSS,1,CONTRATOS REALIZADOS CON EMPRESAS / EXTERNOS,,,,,
ENERO,ARROYO DE ACAXTLA,,,,,,1,,,,,,,,,,,,,SEPTIEMBRE,Asamblea,2,ASESORIAS INTERNAS A LAS ÁREAS DEL AYUNTAMIENTO,,Febrero,Convenio con la Defensoria,1,CONTRATOS REALIZADOS CON EMPRESAS / EXTERNOS,,,,,
ENERO,BUENA VISTA,,,,,,,,,,,,,,,,,,,SEPTIEMBRE,Licencias y Reglamentos,5,ASESORIAS INTERNAS A LAS ÁREAS DEL AYUNTAMIENTO,,Febrero,Contrato de Arrendamiento en San Rafael,1,CONTRATOS REALIZADOS CON EMPRESAS / EXTERNOS,,,,,
ENERO,CABECERA MPAL,contrato de donacion,45,25,,2,5,1,3,,,,1,6,11,,,,,SEPTIEMBRE,Registro civil,,ASESORIAS INTERNAS A LAS ÁREAS DEL AYUNTAMIENTO,,Febrero,Contrato de Arrendamiento SEGALMEX,1,CONTRATOS REALIZADOS CON EMPRESAS / EXTERNOS,,,,,
ENERO,CAHUAZAS,,3,,,,,,,,,,1,1,,,,,,SEPTIEMBRE,Proteccion Civil,,ASESORIAS INTERNAS A LAS ÁREAS DEL AYUNTAMIENTO,,Febrero,Contrato de Arrendamiento en el Zacatal,1,CONTRATOS REALIZADOS CON EMPRESAS / EXTERNOS,,,,,
ENERO,CARRIZAL DE TENANGO,,3,,,,,,,,,,,,,,,,,SEPTIEMBRE,Seguridad Publica,2,ASESORIAS INTERNAS A LAS ÁREAS DEL AYUNTAMIENTO,,,,,,,,,,
ENERO,CARRIZAL DEL SOTANO,,2,,,,,,,,,,,,,,,,,OCTUBRE,Servicios publicos,10,ASESORIAS INTERNAS A LAS ÁREAS DEL AYUNTAMIENTO,,,,,,,,,,
ENERO,EL AMOLAR,,2,,,,,,,,,,,1,,,,,,OCTUBRE,Instancia de la Mujer,8,ASESORIAS INTERNAS A LAS ÁREAS DEL AYUNTAMIENTO,,,,,,,,,,
ENERO,EL BANCO,,2,,,1,1,,,,,,,1,,,,,,OCTUBRE,Juzgado conciliador,30,ASESORIAS INTERNAS A LAS ÁREAS DEL AYUNTAMIENTO,,,,,,,,,,
ENERO,EL BARRIO,,5,4,,1,,,,,,,,,,,,,,OCTUBRE,Catastro,60,ASESORIAS INTERNAS A LAS ÁREAS DEL AYUNTAMIENTO,,,,,,,,,,
ENERO,EL CAMPANARIO,,1,2,,,,,,,,,,,,,,,,OCTUBRE,Obras publicas,,ASESORIAS INTERNAS A LAS ÁREAS DEL AYUNTAMIENTO,,,,,,,,,,
ENERO,EL CAPULÍN,,3,1,,,,,,,,,,,1,,,,,OCTUBRE,Asamblea,,ASESORIAS INTERNAS A LAS ÁREAS DEL AYUNTAMIENTO,,,,,,,,,,
ENERO,EL COYOL,,2,1,,,,,,,,,,,,,,,,OCTUBRE,Licencias y Reglamentos,3,ASESORIAS INTERNAS A LAS ÁREAS DEL AYUNTAMIENTO,,,,,,,,,,
ENERO,EL HUALUL,,,,,,,,,,,,,,,,,,,OCTUBRE,Registro civil,,ASESORIAS INTERNAS A LAS ÁREAS DEL AYUNTAMIENTO,,,,,,,,,,
ENERO,EL LIMONCITO,,2,,,,,,,,,,,,,,,,,OCTUBRE,Proteccion Civil,,ASESORIAS INTERNAS A LAS ÁREAS DEL AYUNTAMIENTO,,,,,,,,,,
ENERO,EL OCOTE,,2,,,,,,,,,,,1,,,,,,OCTUBRE,Seguridad Publica,,ASESORIAS INTERNAS A LAS ÁREAS DEL AYUNTAMIENTO,,,,,,,,,,
ENERO,EL PESCADO,,2,,,,,,,,,,,,,,,,,NOVIEMBRE,Servicios publicos,8,ASESORIAS INTERNAS A LAS ÁREAS DEL AYUNTAMIENTO,,,,,,,,,,
ENERO,EL SABINO,,,,,,,,,,,,,,,,,,,NOVIEMBRE,Instancia de la Mujer,10,ASESORIAS INTERNAS A LAS ÁREAS DEL AYUNTAMIENTO,,,,,,,,,,
ENERO,EL SOTANO,,1,,,,,,,1,,,,,,,,,,NOVIEMBRE,Juzgado conciliador,25,ASESORIAS INTERNAS A LAS ÁREAS DEL AYUNTAMIENTO,,,,,,,,,,
ENERO,EL ZACATAL,,9,3,,,,,,,,,,,,,,,,NOVIEMBRE,Catastro,30,ASESORIAS INTERNAS A LAS ÁREAS DEL AYUNTAMIENTO,,,,,,,,,,
ENERO,HUATEPANGO,,,,,,1,,,,,,,1,1,,,,,NOVIEMBRE,Obras publicas,,ASESORIAS INTERNAS A LAS ÁREAS DEL AYUNTAMIENTO,,,,,,,,,,
ENERO,IGLESIA VIEJA,,10,3,,,,,,,,,,1,,,,,,NOVIEMBRE,Asamblea,1,ASESORIAS INTERNAS A LAS ÁREAS DEL AYUNTAMIENTO,,,,,,,,,,
ENERO,LA CEIBA,,,,,,,,,,,,,,,,,,,NOVIEMBRE,Licencias y Reglamentos,2,ASESORIAS INTERNAS A LAS ÁREAS DEL AYUNTAMIENTO,,,,,,,,,,
ENERO,LA CEIBITA,,,,,,,,,,,,,1,,,,,,NOVIEMBRE,Registro civil,,ASESORIAS INTERNAS A LAS ÁREAS DEL AYUNTAMIENTO,,,,,,,,,,
ENERO,LA ESCONDIDA,,4,2,,,1,,,,,,,,,,,,,NOVIEMBRE,Proteccion Civil,,ASESORIAS INTERNAS A LAS ÁREAS DEL AYUNTAMIENTO,,,,,,,,,,
ENERO,LA ESTANCIA,,4,,,,,,,,,,,2,,,,,,NOVIEMBRE,Seguridad Publica,1,ASESORIAS INTERNAS A LAS ÁREAS DEL AYUNTAMIENTO,,,,,,,,,,
ENERO,LA GUAYABA,,,,,,,,,,,,,,,,,,,DICIEMBRE,Servicios publicos,6,ASESORIAS INTERNAS A LAS ÁREAS DEL AYUNTAMIENTO,,,,,,,,,,
ENERO,LA HONDURA,,2,,,,,,,,,,,,,,,,,DICIEMBRE,Instancia de la Mujer,8,ASESORIAS INTERNAS A LAS ÁREAS DEL AYUNTAMIENTO,,,,,,,,,,
ENERO,LA JOYA DEL ZOPILOTE,,,,,,,,,,,,,,,,,,,DICIEMBRE,Juzgado conciliador,10,ASESORIAS INTERNAS A LAS ÁREAS DEL AYUNTAMIENTO,,,,,,,,,,
ENERO,LA LOMA,,25,3,,,1,,1,,,,,2,,,,,,DICIEMBRE,Catastro,30,ASESORIAS INTERNAS A LAS ÁREAS DEL AYUNTAMIENTO,,,,,,,,,,
ENERO,LA LOMITA,,,,,,,,,,,,,,,,,,,DICIEMBRE,Obras publicas,,ASESORIAS INTERNAS A LAS ÁREAS DEL AYUNTAMIENTO,,,,,,,,,,
ENERO,LA MESA,,2,,,,,,,,,,,,,,,,,DICIEMBRE,Asamblea,2,ASESORIAS INTERNAS A LAS ÁREAS DEL AYUNTAMIENTO,,,,,,,,,,
ENERO,LA PIEDRA,,,,,,,,,,,,,,,,,,,DICIEMBRE,Licencias y Reglamentos,2,ASESORIAS INTERNAS A LAS ÁREAS DEL AYUNTAMIENTO,,,,,,,,,,
ENERO,LA SIERRITA,,,,,,,,,,,,,,,,,,,DICIEMBRE,Registro civil,,ASESORIAS INTERNAS A LAS ÁREAS DEL AYUNTAMIENTO,,,,,,,,,,
ENERO,LAS ANTENAS,,,,,,,,,,,,,,1,,,,,DICIEMBRE,Proteccion Civil,,ASESORIAS INTERNAS A LAS ÁREAS DEL AYUNTAMIENTO,,,,,,,,,,
ENERO,LAS CAMPANAS,,,,,,,,,,,,,,,,,,,DICIEMBRE,Seguridad Publica,,ASESORIAS INTERNAS A LAS ÁREAS DEL AYUNTAMIENTO,,,,,,,,,,
ENERO,LAS CIRUELAS,,,,,,,,,,,,,,,,,,,ENERO,Servicios publicos,5,ASESORIAS INTERNAS A LAS ÁREAS DEL AYUNTAMIENTO,,,,,,,,,,
ENERO,LAS GOLONDRINAS,,,,,,,,,,,,,,,,,,,ENERO,Instancia de la Mujer,8,ASESORIAS INTERNAS A LAS ÁREAS DEL AYUNTAMIENTO,,,,,,,,,,
ENERO,LAS MINAS,,3,,,,,,,,,,,,,,,,,ENERO,Juzgado conciliador,10,ASESORIAS INTERNAS A LAS ÁREAS DEL AYUNTAMIENTO,,,,,,,,,,
ENERO,LOS NARANJOS,,,,,,,,,,,,,,,,,,,ENERO,Catastro,35,ASESORIAS INTERNAS A LAS ÁREAS DEL AYUNTAMIENTO,,,,,,,,,,
ENERO,MIAHUATLA,,3,1,,,,,,,,,,,,,,,,ENERO,Obras publicas,,ASESORIAS INTERNAS A LAS ÁREAS DEL AYUNTAMIENTO,,,,,,,,,,
ENERO,NEBLINAS,,9,4,,,,,,1,,,,,,,,,,ENERO,Asamblea,6,ASESORIAS INTERNAS A LAS ÁREAS DEL AYUNTAMIENTO,,,,,,,,,,
ENERO,NUEVO COYOLAR,,,,,,,,,,,,,,,,,,,ENERO,Licencias y Reglamentos,3,ASESORIAS INTERNAS A LAS ÁREAS DEL AYUNTAMIENTO,,,,,,,,,,
ENERO,OJO DE AGUA BO. ABAJO,,3,1,,,,,,,,,,,,,,,,ENERO,Registro civil,,ASESORIAS INTERNAS A LAS ÁREAS DEL AYUNTAMIENTO,,,,,,,,,,
ENERO,OJO DE AGUA BO. ARRIBA,,2,,,,,,,,,,,,,,,,,ENERO,Proteccion Civil,,ASESORIAS INTERNAS A LAS ÁREAS DEL AYUNTAMIENTO,,,,,,,,,,
