Mes,Comunidad,Comunidades indígenas que hablan lengua materna,Beneficiarios,Tipo de Programa,Inversión
OCTUBRE,AHUAYO,SI,250,DEMOSTRACIÓN DE ARCOS Y COMPARSA XANTOLERA,20000
OCTUBRE,LAS MINAS,SI,78,DEMOSTRACIÓN DE ARCOS Y COMPARSA XANTOLERA,2000
SEPTIEMBRE,TETLALPAN,SI,17,PIZARRON PARA PRESCOLAR,
DICIEMBRE,PALO VERDE,,15,PROGRAMA AGUA VIDA,
DICIEMBRE,LAS MINAS,SI,10,PROGRAMA POR SI LAS LLUVIAS,
OCTUBRE,LAS MINAS,SI,8,EXPEDICIÓN DE ACTAS DE NACIMIENTO,
SEPTIEMBRE,TETLALPAN,SI,7,APOYO ECONOMICO PARA GASTOS MEDICOS,2500
SEPTIEMBRE,TETLALPAN,SI,7,TRANSLADOS,2500
DICIEMBRE,BO. SAN FRANCISCO,,6,PROGRAMA ECO- ESTUFA,
DICIEMBRE,BO. SAN FRANCISCO,,6,PROGRAMA ECO- ESTUFA,
OCTUBRE,AHUAYO,SI,5,EXPEDICIÓN DE ACTAS DE NACIMIENTO,
SEPTIEMBRE,AHUAYO,SI,5,EXPEDICIÓN DE ACTAS DE NACIMIENTO,
SEPTIEMBRE,LAS MINAS,SI,5,APOYO ECONOMICO PARA GASTOS MEDICOS,3000
SEPTIEMBRE,LAS MINAS,SI,5,TRANSLADOS,
DICIEMBRE,SANTA ANA DE ALLENDE,,5,PROGRAMA ECO- ESTUFA,
DICIEMBRE,NEBLINAS,,4,PROGRAMA ECO- ESTUFA,
DICIEMBRE,SANTA ANA DE ALLENDE,,4,PROGRAMA POR SI LAS LLUVIAS,
DICIEMBRE,SOLEDAD DEL COYOL,,4,PROGRAMA DE PISO FIRME,
OCTUBRE,TETLALPAN,SI,3,EXPEDICIÓN DE ACTAS DE NACIMIENTO,
DICIEMBRE,EL BANCO,,3,PROGRAMA ECO- ESTUFA,
DICIEMBRE,PALO VERDE,,3,PROGRAMA POR SI LAS LLUVIAS,
DICIEMBRE,PARED GRUESA,,3,PROGRAMA ECO- ESTUFA,
DICIEMBRE,SAN RAFAEL,,3,PROGRAMA POR SI LAS LLUVIAS,
DICIEMBRE,SANTA MARÍA DE ÁLAMOS,,3,PROGRAMA POR SI LAS LLUVIAS,
DICIEMBRE,SOLEDAD DEL COYOL,,3,PROGRAMA AGUA VIDA,
DICIEMBRE,BO. EL AGUATILLO,,2,PROGRAMA ECO- ESTUFA,
DICIEMBRE,BO. LA CARBONERA,,2,PROGRAMA ECO- ESTUFA,
SEPTIEMBRE,AHUAYO,SI,2,TRANSLADOS,
DICIEMBRE,LAS MINAS,SI,2,PROGRAMA DE PISO FIRME,
DICIEMBRE,TETLALPAN,SI,2,PROGRAMA POR SI LAS LLUVIAS,
OCTUBRE,TETLALPAN,SI,2,TRANSLADOS,
DICIEMBRE,TOCAPA,SI,2,PROGRAMA POR SI LAS LLUVIAS,
DICIEMBRE,CABECERA MPAL,,2,PROGRAMA POR SI LAS LLUVIAS,
DICIEMBRE,CAHUAZAS,,2,PROGRAMA POR SI LAS LLUVIAS,
DICIEMBRE,IGLESIA VIEJA,,2,PROGRAMA POR SI LAS LLUVIAS,
DICIEMBRE,LA LOMA,,2,PROGRAMA POR SI LAS LLUVIAS,
DICIEMBRE,PARED GRUESA,,2,PROGRAMA DE PISO FIRME,
DICIEMBRE,SANTA MARÍA DE ÁLAMOS,,2,PROGRAMA ECO- ESTUFA,
DICIEMBRE,SOLEDAD DEL COYOL,,2,PROGRAMA POR SI LAS LLUVIAS,
DICIEMBRE,BO. PTO. CRUZ VERDE,,1,PROGRAMA ECO- ESTUFA,
DICIEMBRE,BO.LA ESTACION,,1,PROGRAMA ECO- ESTUFA,
DICIEMBRE,EL CAPULIN,,1,PROGRAMA AGUA VIDA,
DICIEMBRE,EL CAPULIN,,1,PROGRAMA POR SI LAS LLUVIAS,
DICIEMBRE,NUEVO PORVENIR,,1,PROGRAMA ECO- ESTUFA,
DICIEMBRE,NUEVO PROGRESO,,1,PROGRAMA DE PISO FIRME,
DICIEMBRE,PALOSEMITA,,1,PROGRAMA ECO- ESTUFA,
