LOCALIDAD,MES,CANTIDAD,BENEFICIARIOS,INVERSION,UNIDAD DE MEDIDA,ACTIVIDAD,SOLICITUDES REALIZADAS POR PARTE DE LA POBLACIÓN
ACUATLA,ENERO,0,0,0,UNITARIO,REPARACIÓN DE BOMBAS DE AGUA,0
ACUATLA,SEPTIEMBRE,0,0,0,UNITARIO,REPARACIÓN DE BOMBAS DE AGUA,0
ACUATLA,OCTUBRE,0,0,0,UNITARIO,REPARACIÓN DE BOMBAS DE AGUA,0
ACUATLA,NOVIEMBRE,0,0,0,UNITARIO,REPARACIÓN DE BOMBAS DE AGUA,0
ACUATLA,DICIEMBRE,0,0,0,UNITARIO,REPARACIÓN DE BOMBAS DE AGUA,0
AHUAYO,ENERO,0,0,0,UNITARIO,REPARACIÓN DE BOMBAS DE AGUA,0
AHUAYO,SEPTIEMBRE,0,0,0,UNITARIO,REPARACIÓN DE BOMBAS DE AGUA,0
AHUAYO,OCTUBRE,0,0,0,UNITARIO,REPARACIÓN DE BOMBAS DE AGUA,0
AHUAYO,NOVIEMBRE,0,0,0,UNITARIO,REPARACIÓN DE BOMBAS DE AGUA,0
AHUAYO,DICIEMBRE,0,0,0,UNITARIO,REPARACIÓN DE BOMBAS DE AGUA,0
ÁLAMO,ENERO,0,0,0,UNITARIO,REPARACIÓN DE BOMBAS DE AGUA,0
ÁLAMO,SEPTIEMBRE,0,0,0,UNITARIO,REPARACIÓN DE BOMBAS DE AGUA,0
ÁLAMO,OCTUBRE,0,0,0,UNITARIO,REPARACIÓN DE BOMBAS DE AGUA,0
ÁLAMO,NOVIEMBRE,0,0,0,UNITARIO,REPARACIÓN DE BOMBAS DE AGUA,0
ÁLAMO,DICIEMBRE,0,0,0,UNITARIO,REPARACIÓN DE BOMBAS DE AGUA,0
AMIXCO,ENERO,0,0,0,UNITARIO,REPARACIÓN DE BOMBAS DE AGUA,0
AMIXCO,SEPTIEMBRE,0,0,0,UNITARIO,REPARACIÓN DE BOMBAS DE AGUA,0
AMIXCO,OCTUBRE,0,0,0,UNITARIO,REPARACIÓN DE BOMBAS DE AGUA,0
AMIXCO,NOVIEMBRE,0,0,0,UNITARIO,REPARACIÓN DE BOMBAS DE AGUA,0
AMIXCO,DICIEMBRE,0,0,0,UNITARIO,REPARACIÓN DE BOMBAS DE AGUA,0
ARROYO BLANCO,ENERO,0,0,0,UNITARIO,REPARACIÓN DE BOMBAS DE AGUA,0
ARROYO BLANCO,SEPTIEMBRE,0,0,0,UNITARIO,REPARACIÓN DE BOMBAS DE AGUA,0
ARROYO BLANCO,OCTUBRE,0,0,0,UNITARIO,REPARACIÓN DE BOMBAS DE AGUA,0
ARROYO BLANCO,NOVIEMBRE,0,0,0,UNITARIO,REPARACIÓN DE BOMBAS DE AGUA,0
ARROYO BLANCO,DICIEMBRE,0,0,0,UNITARIO,REPARACIÓN DE BOMBAS DE AGUA,0
ARROYO DE ACAXTLA,ENERO,0,0,0,UNITARIO,REPARACIÓN DE BOMBAS DE AGUA,0
ARROYO DE ACAXTLA,SEPTIEMBRE,0,0,0,UNITARIO,REPARACIÓN DE BOMBAS DE AGUA,0
ARROYO DE ACAXTLA,OCTUBRE,0,0,0,UNITARIO,REPARACIÓN DE BOMBAS DE AGUA,0
ARROYO DE ACAXTLA,NOVIEMBRE,0,0,0,UNITARIO,REPARACIÓN DE BOMBAS DE AGUA,0
ARROYO DE ACAXTLA,DICIEMBRE,0,0,0,UNITARIO,REPARACIÓN DE BOMBAS DE AGUA,0
BUENA VISTA,ENERO,0,0,0,UNITARIO,REPARACIÓN DE BOMBAS DE AGUA,0
BUENA VISTA,SEPTIEMBRE,0,0,0,UNITARIO,REPARACIÓN DE BOMBAS DE AGUA,0
BUENA VISTA,OCTUBRE,0,0,0,UNITARIO,REPARACIÓN DE BOMBAS DE AGUA,0
BUENA VISTA,NOVIEMBRE,0,0,0,UNITARIO,REPARACIÓN DE BOMBAS DE AGUA,0
BUENA VISTA,DICIEMBRE,0,0,0,UNITARIO,REPARACIÓN DE BOMBAS DE AGUA,0
CABECERA MUNICIPAL,ENERO,0,0,0,UNITARIO,REPARACIÓN DE BOMBAS DE AGUA,0
CABECERA MUNICIPAL,SEPTIEMBRE,0,0,0,UNITARIO,REPARACIÓN DE BOMBAS DE AGUA,0
CABECERA MUNICIPAL,OCTUBRE,0,0,0,UNITARIO,REPARACIÓN DE BOMBAS DE AGUA,0
CABECERA MUNICIPAL,NOVIEMBRE,0,0,0,UNITARIO,REPARACIÓN DE BOMBAS DE AGUA,0
CABECERA MUNICIPAL,DICIEMBRE,0,0,0,UNITARIO,REPARACIÓN DE BOMBAS DE AGUA,0
CAHUAZAS,ENERO,0,0,0,UNITARIO,REPARACIÓN DE BOMBAS DE AGUA,0
CAHUAZAS,SEPTIEMBRE,0,0,0,UNITARIO,REPARACIÓN DE BOMBAS DE AGUA,0
CAHUAZAS,OCTUBRE,0,0,0,UNITARIO,REPARACIÓN DE BOMBAS DE AGUA,0
CAHUAZAS,NOVIEMBRE,0,0,0,UNITARIO,REPARACIÓN DE BOMBAS DE AGUA,0
CAHUAZAS,DICIEMBRE,0,0,0,UNITARIO,REPARACIÓN DE BOMBAS DE AGUA,0
CARRIZAL DE TENANGO,ENERO,0,0,0,UNITARIO,REPARACIÓN DE BOMBAS DE AGUA,0
CARRIZAL DE TENANGO,SEPTIEMBRE,0,0,0,UNITARIO,REPARACIÓN DE BOMBAS DE AGUA,0
CARRIZAL DE TENANGO,OCTUBRE,0,0,0,UNITARIO,REPARACIÓN DE BOMBAS DE AGUA,0
CARRIZAL DE TENANGO,NOVIEMBRE,0,0,0,UNITARIO,REPARACIÓN DE BOMBAS DE AGUA,0
CARRIZAL DE TENANGO,DICIEMBRE,0,0,0,UNITARIO,REPARACIÓN DE BOMBAS DE AGUA,0
CARRIZAL DEL SOTANO,ENERO,0,0,0,UNITARIO,REPARACIÓN DE BOMBAS DE AGUA,0
CARRIZAL DEL SOTANO,SEPTIEMBRE,0,0,0,UNITARIO,REPARACIÓN DE BOMBAS DE AGUA,0
CARRIZAL DEL SOTANO,OCTUBRE,0,0,0,UNITARIO,REPARACIÓN DE BOMBAS DE AGUA,0
CARRIZAL DEL SOTANO,NOVIEMBRE,0,0,0,UNITARIO,REPARACIÓN DE BOMBAS DE AGUA,0
CARRIZAL DEL SOTANO,DICIEMBRE,0,0,0,UNITARIO,REPARACIÓN DE BOMBAS DE AGUA,0
EL AMOLAR,ENERO,0,0,0,UNITARIO,REPARACIÓN DE BOMBAS DE AGUA,0
EL AMOLAR,SEPTIEMBRE,0,0,0,UNITARIO,REPARACIÓN DE BOMBAS DE AGUA,0
EL AMOLAR,OCTUBRE,0,0,0,UNITARIO,REPARACIÓN DE BOMBAS DE AGUA,0
EL AMOLAR,NOVIEMBRE,0,0,0,UNITARIO,REPARACIÓN DE BOMBAS DE AGUA,0
EL AMOLAR,DICIEMBRE,0,0,0,UNITARIO,REPARACIÓN DE BOMBAS DE AGUA,0
