Numero,Nombre del proyecto,"Tipo de obra (infraestructura vial, hidráulica, educativa, etc.).","Ubicación (colonia, comunidad o localidad).",Fecha de inicio,Fecha de conclusión,Monto total invertido,"Fuente de financiamiento (municipal, estatal, federal, mezcla de recursos).",Número de beneficiarios,Tipo de adjudicación,Estatus de Obra,Avance
1,CONSTRUCCIÓN DE PAVIMENTO HIDRÁULICO EN LA LOCALIDAD EL BANCO,VIAL,EL BANCO,07/01/2025,9/28/2025,"$477,921.66",FEDERAL,45,DIRECTA,Concluida,100
2,CONSTRUCCIÓN DE PAVIMENTO HIDRÁULICO EN CARRETERA DE ACCESO A LA LOCALIDAD DE TOCAPA,VIAL,TOCAPA,07/01/2025,9/28/2025,"$736,728.04",FEDERAL,158,DIRECTA,Concluida,100
3,CONSTRUCCIÓN DE PAVIMENTO HIDRÁULICO EN CARRETERA DE ACCESO A LA LOCALIDAD EL ZACATAL,VIAL,EL ZACATAL,07/01/2025,9/28/2025,"$736,554.04",FEDERAL,206,DIRECTA,Concluida,100
4,CONSTRUCCIÓN DE PAVIMENTO HIDRÁULICO EN CARRETERA DE ACCESO A LA LOCALIDAD EL HUALUL,VIAL,EL HUALUL,07/01/2025,9/28/2025,"$737,149.63",FEDERAL,64,DIRECTA,Concluida,100
5,CONSTRUCCIÓN DE PAVIMENTO HIDRÁULICO EN CARRETERA DE ACCESO A LA LOCALIDAD LA SIERRITA,VIAL,LA SIERRITA,07/01/2025,9/28/2025,"$736,146.52",FEDERAL,44,DIRECTA,Concluida,100
6,CONSTRUCCIÓN DE PAVIMENTO HIDRÁULICO EN CARRETERA DE ACCESO A LA LOCALIDAD EL LIMONCITO,VIAL,EL LIMONCITO,07/01/2025,9/28/2025,"$654,445.22",FEDERAL,88,DIRECTA,Concluida,100
7,CONSTRUCCIÓN DE PAVIMENTO HIDRÁULICO EN LA LOCALIDAD DE AMIXCO,VIAL,AMIXCO,07/01/2025,9/28/2025,"$719,229.70",FEDERAL,41,DIRECTA,Concluida,100
8,CONSTRUCCIÓN DE PAVIMENTO HIDRÁULICO EN CARRETERA DE ACCESO A LA LOCALIDAD EL PESCADO,VIAL,EL PESCADO,07/01/2025,9/28/2025,"$719,249.09",FEDERAL,111,DIRECTA,Concluida,100
9,REHABILITACIÓN DE PAVIMENTO HIDRÁULICO EN LA LOCALIDAD REFORMA DE PALO SEMITA,VIAL,REFORMA DE PALO SEMITA,07/01/2025,9/28/2025,"$619,040.64",FEDERAL,52,DIRECTA,Concluida,100
10,"CONSTRUCCIÓN DE PAVIMENTO HIDRÁULICO EN LA LOCALIDAD DE CHAPULHUACÁN, COLONIA LA CRUZ BLANCA",VIAL,"CHAPULHUACÁN, COLONIA LA CRUZ BLANCA",07/01/2025,9/28/2025,"$787,012.39",FEDERAL,4143,DIRECTA,Concluida,100
11,CONSTRUCCIÓN DE PAVIMENTO HIDRÁULICO EN CARRETERA DE ACCESO A LA LOCALIDAD DE AHUAYO,VIAL,AHUAYO,07/01/2025,9/28/2025,"$733,598.91",FEDERAL,228,DIRECTA,Concluida,100
12,CONSTRUCCIÓN DE PAVIMENTO HIDRÁULICO EN LA LOCALIDAD DE MIAHUATLA,VIAL,MIAHUATLA,07/01/2025,9/28/2025,"$753,660.67",FEDERAL,39,DIRECTA,Concluida,100
13,CONSTRUCCIÓN DE PAVIMENTO HIDRÁULICO EN CARRETERA DE ACCESO A LA LOCALIDAD PUERTO DEL AMOLAR,VIAL,PUERTO DEL AMOLAR,07/01/2025,9/28/2025,"$719,227.05",FEDERAL,32,DIRECTA,Concluida,100
14,CONSTRUCCIÓN DE PAVIMENTO HIDRÁULICO EN CARRETERA DE ACCESO A LA LOCALIDAD LA CEIBITA,VIAL,LA CEIBITA,07/01/2025,9/28/2025,"$722,055.39",FEDERAL,108,DIRECTA,Concluida,100
15,CONSTRUCCIÓN DE PAVIMENTO HIDRÁULICO EN CARRETERA DE ACCESO A LA LOCALIDAD OJO DE AGUA BO. ARRIVA,VIAL,OJO DE AGUA BO. ARRIBA,07/01/2025,9/28/2025,"$660,476.22",FEDERAL,142,DIRECTA,Concluida,100
16,"CONSTRUCCIÓN DE PAVIMENTO HIDRÁULICO EN CARRETERA DE ACCESO A LA LOCALIDAD EL OCOTE, BO. EL CLARÍN",VIAL,"EL OCOTE, BO. EL CLARÍN",07/01/2025,9/28/2025,"$521,986.94",FEDERAL,158,DIRECTA,Concluida,100
17,CONSTRUCCIÓN DE PAVIMENTO HIDRÁULICO EN CARRETERA DE ACCESO A LA LOCALIDAD LA PIEDRA,VIAL,LA PIEDRA,07/01/2025,9/28/2025,"$886,535.85",FEDERAL,179,DIRECTA,Concluida,100
